id,season,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
10053,2015/2016,9810,8406,1,1
10054,2015/2016,8722,8721,1,1
10055,2015/2016,9904,8178,0,1
10056,2015/2016,8177,8697,1,1
10057,2015/2016,8226,9823,1,2
10058,2015/2016,8234,9789,0,4
10059,2015/2016,10189,8721,3,0
10060,2015/2016,8178,9823,0,0
10061,2015/2016,9788,8697,5,1
10062,2015/2016,9790,8722,1,1
10063,2015/2016,9810,10269,2,4
10064,2015/2016,9904,9905,0,1
10065,2015/2016,8177,9789,0,0
10066,2015/2016,8226,8262,0,2
10067,2015/2016,8234,8406,2,1
10068,2015/2016,9789,9904,1,0
10069,2015/2016,8721,8234,2,0
10070,2015/2016,9790,9788,3,2
10071,2015/2016,10269,8177,2,0
10072,2015/2016,8406,9823,1,3
10073,2015/2016,8697,8226,1,1
10074,2015/2016,8722,9810,3,1
10075,2015/2016,9905,10189,2,1
10076,2015/2016,8262,8178,1,2
10077,2015/2016,9823,8262,3,1
10078,2015/2016,10189,10269,1,1
10079,2015/2016,8178,9789,0,1
10080,2015/2016,9788,8722,1,0
10081,2015/2016,9810,9790,0,0
10082,2015/2016,9904,8406,0,1
10083,2015/2016,8177,8721,1,1
10084,2015/2016,8226,9905,3,2
10085,2015/2016,8234,8697,2,0
10086,2015/2016,9789,8226,3,1
10087,2015/2016,8721,9823,0,2
10088,2015/2016,9790,8234,1,1
10089,2015/2016,10269,9904,1,2
10090,2015/2016,8406,9788,2,2
10091,2015/2016,8697,8262,2,2
10092,2015/2016,9810,10189,0,0
10093,2015/2016,8722,8177,0,1
10094,2015/2016,9905,8178,3,1
10095,2015/2016,9823,9905,1,2
10096,2015/2016,10189,9790,3,2
10097,2015/2016,8178,8697,1,4
10098,2015/2016,9788,10269,4,0
10099,2015/2016,9904,8721,0,4
10100,2015/2016,8177,9810,2,0
10101,2015/2016,8226,8406,2,1
10102,2015/2016,8234,8722,1,1
10103,2015/2016,8262,9789,0,2
10104,2015/2016,9789,9823,0,0
10105,2015/2016,8721,9788,2,1
10106,2015/2016,9790,8177,2,0
10107,2015/2016,10269,8226,5,1
10108,2015/2016,8406,8178,3,3
10109,2015/2016,8697,9904,4,1
10110,2015/2016,9810,8234,1,1
10111,2015/2016,8722,10189,1,3
10112,2015/2016,9905,8262,0,0
10113,2015/2016,9823,8697,5,0
10114,2015/2016,9789,9905,2,0
10115,2015/2016,8178,9790,1,0
10116,2015/2016,9788,9810,3,0
10117,2015/2016,9904,8722,0,2
10118,2015/2016,8177,10189,2,0
10119,2015/2016,8226,8721,1,0
10120,2015/2016,8234,10269,3,3
10121,2015/2016,8262,8406,2,2
10122,2015/2016,10189,9788,2,1
10123,2015/2016,8721,8262,1,1
10124,2015/2016,9790,8226,1,3
10125,2015/2016,10269,8178,0,2
10126,2015/2016,8406,9789,1,3
10127,2015/2016,8697,9905,1,1
10128,2015/2016,9810,9904,1,0
10129,2015/2016,8722,9823,0,1
10130,2015/2016,8177,8234,2,1
10131,2015/2016,9823,9810,1,0
10132,2015/2016,9789,8697,3,2
10133,2015/2016,8178,8721,3,0
10134,2015/2016,9788,8177,5,0
10135,2015/2016,9904,9790,0,3
10136,2015/2016,8226,8722,1,1
10137,2015/2016,9905,8406,4,2
10138,2015/2016,8234,10189,3,0
10139,2015/2016,8262,10269,2,2
10140,2015/2016,10189,9789,2,2
10141,2015/2016,8721,9905,1,1
10142,2015/2016,9790,8262,1,2
10143,2015/2016,10269,9823,1,3
10144,2015/2016,8697,8406,1,2
10145,2015/2016,9810,8226,0,2
10146,2015/2016,8722,8178,0,2
10147,2015/2016,8177,9904,2,2
10148,2015/2016,8234,9788,1,0
10149,2015/2016,9823,8178,3,0
10150,2015/2016,9789,8177,3,1
10151,2015/2016,8721,10189,3,0
10152,2015/2016,10269,9810,1,4
10153,2015/2016,8406,8234,0,1
10154,2015/2016,8697,9788,2,1
10155,2015/2016,8722,9790,2,1
10156,2015/2016,9905,9904,3,0
10157,2015/2016,8262,8226,0,0
10158,2015/2016,9823,10189,3,0
10159,2015/2016,9789,9790,3,0
10160,2015/2016,8178,9810,3,0
10161,2015/2016,8406,10269,1,0
10162,2015/2016,8697,8721,3,2
10163,2015/2016,9904,9788,2,0
10164,2015/2016,8226,8177,2,1
10165,2015/2016,9905,8722,2,3
10166,2015/2016,8262,8234,2,0
10167,2015/2016,10189,8178,2,3
10168,2015/2016,9788,8226,3,1
10169,2015/2016,8721,8406,0,2
10170,2015/2016,9790,8697,2,1
10171,2015/2016,10269,9789,0,3
10172,2015/2016,9810,9905,2,1
10173,2015/2016,8722,8262,4,1
10174,2015/2016,8177,9823,0,2
10175,2015/2016,8234,9904,2,2
10176,2015/2016,9823,9788,1,1
10177,2015/2016,9789,8721,5,1
10178,2015/2016,8178,8177,2,1
10179,2015/2016,8406,8722,0,0
10180,2015/2016,8697,10269,6,2
10181,2015/2016,9904,10189,1,3
10182,2015/2016,8226,8234,2,1
10183,2015/2016,9905,9790,0,0
10184,2015/2016,8262,9810,1,2
10185,2015/2016,10189,8406,1,1
10186,2015/2016,9788,8178,2,1
10187,2015/2016,9790,8721,0,1
10188,2015/2016,10269,9905,1,3
10189,2015/2016,9810,9789,1,0
10190,2015/2016,8722,8697,0,0
10191,2015/2016,9904,8226,1,0
10192,2015/2016,8177,8262,1,2
10193,2015/2016,8234,9823,1,2
10194,2015/2016,9823,9904,3,1
10195,2015/2016,9789,8722,2,2
10196,2015/2016,8178,8234,3,2
10197,2015/2016,8721,10269,3,1
10198,2015/2016,8406,9790,1,3
10199,2015/2016,8697,9810,1,0
10200,2015/2016,8226,10189,1,4
10201,2015/2016,9905,8177,0,0
10202,2015/2016,8262,9788,0,2
10203,2015/2016,9823,8406,2,1
10204,2015/2016,10189,9905,2,1
10205,2015/2016,8178,8262,0,1
10206,2015/2016,9788,9790,0,3
10207,2015/2016,9810,8722,6,2
10208,2015/2016,9904,9789,2,4
10209,2015/2016,8177,10269,2,1
10210,2015/2016,8226,8697,1,3
10211,2015/2016,8234,8721,0,0
10212,2015/2016,9789,8178,3,0
10213,2015/2016,8721,8177,2,0
10214,2015/2016,9790,9810,0,0
10215,2015/2016,10269,10189,0,1
10216,2015/2016,8406,9904,2,0
10217,2015/2016,8697,8234,0,1
10218,2015/2016,8722,9788,1,0
10219,2015/2016,9905,8226,3,1
10220,2015/2016,8262,9823,0,3
10221,2015/2016,9823,8721,5,1
10222,2015/2016,10189,9810,2,0
10223,2015/2016,8178,9905,1,0
10224,2015/2016,9788,8406,4,2
10225,2015/2016,9904,10269,1,3
10226,2015/2016,8177,8722,2,0
10227,2015/2016,8226,9789,1,1
10228,2015/2016,8234,9790,0,1
10229,2015/2016,8262,8697,2,1
10230,2015/2016,9789,8262,2,2
10231,2015/2016,8721,9904,1,1
10232,2015/2016,9790,10189,0,1
10233,2015/2016,10269,9788,1,3
10234,2015/2016,8406,8226,1,3
10235,2015/2016,8697,8178,0,3
10236,2015/2016,9810,8177,1,1
10237,2015/2016,8722,8234,1,1
10238,2015/2016,9905,9823,0,3
10239,2015/2016,9823,9789,5,1
10240,2015/2016,10189,8722,0,3
10241,2015/2016,8178,8406,1,1
10242,2015/2016,9788,8721,2,0
10243,2015/2016,9904,8697,1,0
10244,2015/2016,8177,9790,3,0
10245,2015/2016,8226,10269,2,2
10246,2015/2016,8234,9810,2,0
10247,2015/2016,8262,9905,2,3
10248,2015/2016,10189,8177,2,1
10249,2015/2016,8721,8226,4,2
10250,2015/2016,9790,8178,0,0
10251,2015/2016,10269,8234,1,0
10252,2015/2016,8406,8262,0,2
10253,2015/2016,8697,9823,0,1
10254,2015/2016,9810,9788,1,5
10255,2015/2016,8722,9904,0,1
10256,2015/2016,9905,9789,0,2
