,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
6835,H,2.0,3.8,3.8,2,3,5,10,14,106,68,471,144,75,439,4,1,5,13,19,115,67,456,110,50,454,0.6415094339622641,0.14705882352941177,0.5208333333333334,0.18666666666666668,0.5826086956521739,0.19402985074626866,0.45454545454545453,0.38
6836,H,2.0,3.6,4.0,1,3,6,12,20,88,45,418,111,54,492,1,4,5,10,15,112,60,403,117,69,507,0.5113636363636364,0.26666666666666666,0.4864864864864865,0.37037037037037035,0.5357142857142857,0.16666666666666666,0.5897435897435898,0.21739130434782608
6837,D,2.75,3.3,2.8,3,2,5,11,22,104,43,461,109,53,449,1,6,3,8,11,129,57,373,116,66,537,0.41346153846153844,0.2558139534883721,0.48623853211009177,0.41509433962264153,0.4418604651162791,0.14035087719298245,0.5689655172413793,0.16666666666666666
6838,H,1.7,3.8,5.75,2,2,6,6,14,91,44,384,137,82,526,1,0,9,5,27,91,48,363,121,50,546,0.4835164835164835,0.13636363636363635,0.5985401459854015,0.17073170731707318,0.5274725274725275,0.10416666666666667,0.4132231404958678,0.54
6839,A,4.0,3.4,2.1,3,2,5,7,10,84,34,364,150,74,546,5,4,1,19,13,139,68,478,93,44,432,0.40476190476190477,0.20588235294117646,0.49333333333333335,0.13513513513513514,0.4892086330935252,0.27941176470588236,0.4731182795698925,0.29545454545454547
6840,H,1.44,4.33,8.0,3,5,2,15,14,91,52,420,110,55,490,4,2,4,19,18,81,43,385,123,62,525,0.5714285714285714,0.28846153846153844,0.5,0.2545454545454545,0.5308641975308642,0.4418604651162791,0.5040650406504065,0.2903225806451613
6841,D,2.0,3.3,4.0,5,3,2,12,6,111,54,496,100,46,414,3,3,4,16,11,99,53,422,86,43,488,0.4864864864864865,0.2222222222222222,0.46,0.13043478260869565,0.5353535353535354,0.3018867924528302,0.5,0.2558139534883721
6842,A,4.5,4.0,1.73,1,0,9,6,26,114,64,440,149,74,470,2,4,4,10,19,106,46,437,85,49,473,0.5614035087719298,0.09375,0.4966442953020134,0.35135135135135137,0.4339622641509434,0.21739130434782608,0.5764705882352941,0.3877551020408163
6843,A,3.5,3.25,2.2,3,3,4,12,18,102,50,441,126,57,469,7,2,1,17,7,67,33,482,90,47,428,0.49019607843137253,0.24,0.4523809523809524,0.3157894736842105,0.4925373134328358,0.5151515151515151,0.5222222222222223,0.14893617021276595
6844,H,3.0,3.2,2.5,2,3,5,6,14,106,56,471,68,32,439,5,3,2,15,9,86,49,530,97,48,380,0.5283018867924528,0.10714285714285714,0.47058823529411764,0.4375,0.5697674418604651,0.30612244897959184,0.4948453608247423,0.1875
