,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target
416,H,2.4,3.3,2.9,1,3,6,10,20,112,55,133,59,4,2,4,16,18,87,50,118,54
417,H,1.85,3.4,4.2,3,1,6,13,19,106,57,99,47,3,1,6,10,20,103,53,116,59
418,H,1.44,4.33,7.5,7,0,3,21,14,103,58,152,74,3,1,6,9,14,109,54,161,76
419,D,1.2,6.5,15.0,8,1,1,20,7,153,81,97,52,4,1,5,17,17,97,50,116,53
420,D,3.8,3.6,1.95,2,5,3,10,11,114,51,164,74,7,0,3,21,14,148,84,125,67
421,H,2.88,3.3,2.5,1,2,7,7,22,105,53,160,81,4,0,6,9,17,128,63,145,67
422,H,1.44,4.2,7.5,7,1,2,22,9,131,73,111,56,5,2,3,16,16,134,72,114,48
423,D,2.2,3.25,3.4,3,1,6,10,16,111,54,156,74,4,0,6,9,14,112,54,123,50
424,D,1.57,4.0,6.0,6,0,4,16,13,149,85,130,69,3,2,5,8,14,82,34,131,70
425,H,2.1,3.3,3.6,9,0,1,25,9,191,98,77,38,8,0,2,30,11,164,84,83,41
426,H,1.2,6.5,15.0,6,1,3,26,13,164,77,105,49,3,2,5,9,14,127,63,104,53
427,A,2.5,3.4,2.7,4,1,5,15,18,134,61,109,45,2,4,4,11,13,131,52,90,53
428,D,1.85,3.3,4.5,6,2,2,14,8,135,62,105,48,2,1,7,8,17,139,62,103,51
429,H,1.7,3.4,5.5,5,2,3,23,23,128,61,128,65,2,2,6,8,15,90,45,98,55
430,H,3.75,3.5,1.95,5,1,4,16,15,82,31,115,59,5,0,5,22,19,131,69,111,56
431,D,2.75,3.25,2.63,6,1,3,13,9,95,44,130,75,7,0,3,20,13,106,58,140,68
432,H,2.1,3.3,3.6,3,3,4,9,14,75,33,145,83,2,2,6,11,18,125,63,153,75
433,H,1.2,5.5,13.0,7,2,1,20,8,156,88,87,47,2,5,3,11,12,121,56,164,75
434,H,4.5,3.6,1.8,5,2,3,13,10,97,44,129,77,9,0,1,23,8,191,102,74,36
435,H,4.2,3.4,1.91,4,1,5,19,19,84,49,130,64,7,0,3,27,13,166,84,89,48
436,A,4.5,3.5,1.83,2,0,8,7,15,133,65,137,74,6,1,3,22,16,141,78,128,70
437,D,2.15,3.4,3.25,9,0,1,20,8,116,52,133,61,2,4,4,12,14,123,54,95,44
438,A,3.25,3.2,2.25,6,2,2,19,15,123,53,91,39,8,1,1,24,9,144,78,112,55
439,D,1.73,3.4,5.25,5,5,0,18,9,133,61,107,50,5,3,2,10,7,150,68,106,54
440,H,3.6,3.3,2.1,3,3,4,11,12,113,58,137,62,6,1,3,17,13,95,42,113,53
441,H,1.17,7.0,15.0,5,0,5,21,15,142,71,122,62,2,1,7,7,21,95,46,121,61
442,D,4.75,3.75,1.7,4,2,4,16,16,107,58,105,50,6,2,2,27,12,116,67,81,43
443,D,5.0,3.6,1.73,4,0,6,9,17,129,61,139,65,6,1,3,19,13,102,58,141,69
444,H,1.57,3.8,6.0,2,4,4,11,17,91,39,123,63,3,4,3,8,11,102,44,122,55
445,D,2.4,3.1,3.1,1,2,7,6,17,135,69,118,59,2,1,7,9,15,71,28,120,60
446,H,2.1,3.3,3.5,5,2,3,18,12,123,56,121,59,5,2,3,22,22,128,61,119,58
447,A,1.83,3.5,4.33,5,1,4,15,18,94,42,139,66,2,2,6,9,22,107,58,112,52
448,H,1.67,3.6,5.5,4,1,5,10,13,112,58,131,57,2,2,6,9,22,104,52,162,79
449,H,1.2,6.5,15.0,8,0,2,22,10,193,104,70,33,3,2,5,11,19,118,59,116,58
450,A,1.44,4.33,7.5,6,1,3,22,16,134,72,138,75,3,3,4,9,15,71,30,146,90
451,D,2.6,3.2,2.8,2,1,7,8,23,95,47,167,83,1,0,9,5,16,146,72,127,69
452,H,1.22,5.5,15.0,8,1,1,27,9,144,77,108,54,2,2,6,10,17,108,42,132,65
453,D,1.44,4.33,7.0,6,1,3,17,10,97,41,96,47,4,1,5,14,17,99,49,114,52
454,D,7.0,4.33,1.44,3,2,5,10,20,109,57,112,50,6,0,4,25,14,145,69,121,67
455,D,1.8,3.5,4.5,6,1,3,20,19,124,57,71,34,4,1,5,14,16,104,60,98,44
456,H,2.63,3.25,2.75,2,4,4,12,14,128,64,154,70,5,2,3,15,13,158,93,120,69
457,D,7.0,4.2,1.5,2,2,6,12,17,130,71,149,71,7,1,2,31,12,174,86,87,44
458,H,3.0,3.25,2.4,6,0,4,25,14,173,84,91,47,8,1,1,22,9,160,93,90,47
459,D,1.44,4.2,8.0,5,2,3,17,13,99,56,141,69,4,1,5,9,12,117,62,130,56
460,D,4.75,3.6,1.73,3,1,6,11,18,85,40,140,66,7,0,3,25,18,130,64,118,49
461,D,2.2,3.3,3.25,7,1,2,19,7,85,35,89,41,8,1,1,18,7,119,53,126,57
462,A,1.75,3.4,5.0,4,4,2,10,8,154,74,116,58,1,2,7,6,17,90,43,102,55
463,H,2.6,3.2,2.75,2,1,7,9,19,106,54,122,59,4,3,3,12,11,109,55,128,54
464,H,2.4,3.2,3.0,5,2,3,18,20,109,53,92,40,3,4,3,8,9,154,73,116,61
465,H,1.75,3.4,5.0,5,5,0,17,8,138,65,115,54,2,2,6,10,13,79,36,125,62
466,D,2.88,3.2,2.5,2,2,6,7,16,89,44,108,58,5,2,3,15,12,123,58,133,68
467,H,1.44,4.0,8.0,8,1,1,26,10,140,70,104,53,3,1,6,8,13,103,48,147,69
468,H,1.53,4.0,6.0,3,3,4,10,14,100,46,114,57,3,2,5,10,13,100,46,135,64
469,H,2.38,3.3,3.0,1,1,8,5,15,145,72,116,62,4,1,5,12,17,124,62,131,68
470,H,1.17,7.0,19.0,7,1,2,21,11,159,96,89,44,3,2,5,11,22,115,58,123,61
471,H,4.2,3.4,1.91,3,2,5,10,14,115,60,138,60,6,0,4,24,13,171,88,94,51
472,D,2.5,3.25,2.88,4,2,4,14,15,157,96,119,67,6,2,2,14,8,92,41,134,80
473,H,1.91,3.4,4.2,4,0,6,10,22,95,53,158,80,2,2,6,8,22,90,40,165,82
474,A,9.0,4.33,1.4,3,3,4,15,16,132,66,153,77,8,0,2,24,8,208,112,72,33
475,H,1.57,4.0,6.0,7,1,2,33,14,171,82,90,47,6,1,3,21,14,146,79,133,76
476,D,1.91,3.4,4.2,4,3,3,9,11,77,32,143,91,2,3,5,9,16,128,68,104,59
477,D,2.0,3.3,4.0,5,1,4,18,15,85,49,150,74,2,3,5,13,16,134,71,146,71
478,D,2.38,3.4,2.88,7,1,2,21,9,95,42,84,39,1,5,4,10,14,117,52,94,44
479,A,1.53,3.75,7.0,6,4,0,21,8,140,66,106,49,2,3,5,9,15,99,50,101,55
480,H,1.44,4.2,7.5,6,1,3,23,11,151,74,121,66,2,1,7,10,19,120,43,111,59
481,D,4.33,3.6,1.83,3,1,6,8,12,104,57,156,86,5,3,2,19,13,111,59,138,65
482,H,1.44,4.0,8.0,2,4,4,8,11,153,71,119,65,2,2,6,11,18,110,43,117,56
483,H,1.67,3.5,5.5,5,1,4,20,19,138,67,121,58,1,3,6,11,20,107,57,135,59
