,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-opposition_shots,home-opposition_shots_on_target,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-opposition_shots,away-opposition_shots_on_target,home_shot_accuracy,home_shot_efficiency,home_opposition_shot_accuracy,home_opposition_shot_efficiency,away_shot_accuracy,away_shot_efficiency,away_opposition_shot_accuracy,away_opposition_shot_efficiency
170,A,6.5,3.75,1.57,3,1,6,12,19,122,58,146,83,3,7,0,9,5,116,52,82,44,0.47540983606557374,0.20689655172413793,0.5684931506849316,0.2289156626506024,0.4482758620689655,0.17307692307692307,0.5365853658536586,0.11363636363636363
171,A,6.5,3.75,1.57,1,2,7,10,20,125,65,116,57,5,3,2,11,9,193,112,108,57,0.52,0.15384615384615385,0.49137931034482757,0.3508771929824561,0.5803108808290155,0.09821428571428571,0.5277777777777778,0.15789473684210525
172,H,1.4,4.33,9.5,4,5,1,19,11,163,81,63,35,4,4,2,14,8,117,65,126,66,0.49693251533742333,0.2345679012345679,0.5555555555555556,0.3142857142857143,0.5555555555555556,0.2153846153846154,0.5238095238095238,0.12121212121212122
173,H,1.83,3.5,4.5,2,4,4,9,11,134,76,103,46,1,3,6,3,12,83,43,179,91,0.5671641791044776,0.11842105263157894,0.44660194174757284,0.2391304347826087,0.5180722891566265,0.06976744186046512,0.5083798882681564,0.13186813186813187
174,H,2.5,3.25,2.9,1,3,6,9,18,81,33,150,80,4,1,5,10,15,91,46,156,90,0.4074074074074074,0.2727272727272727,0.5333333333333333,0.225,0.5054945054945055,0.21739130434782608,0.5769230769230769,0.16666666666666666
175,A,2.2,3.3,3.4,3,4,3,6,6,126,57,111,54,5,2,3,15,9,143,81,143,77,0.4523809523809524,0.10526315789473684,0.4864864864864865,0.1111111111111111,0.5664335664335665,0.18518518518518517,0.5384615384615384,0.11688311688311688
176,A,7.5,4.0,1.5,3,3,4,13,17,113,57,134,71,10,0,0,19,1,165,83,103,41,0.504424778761062,0.22807017543859648,0.5298507462686567,0.23943661971830985,0.503030303030303,0.2289156626506024,0.39805825242718446,0.024390243902439025
177,H,2.5,3.3,2.87,3,2,5,11,11,132,64,128,60,7,2,1,15,7,125,58,119,61,0.48484848484848486,0.171875,0.46875,0.18333333333333332,0.464,0.25862068965517243,0.5126050420168067,0.11475409836065574
178,D,2.5,3.25,2.9,3,4,3,13,12,119,68,105,39,5,4,1,12,3,111,54,105,60,0.5714285714285714,0.19117647058823528,0.37142857142857144,0.3076923076923077,0.4864864864864865,0.2222222222222222,0.5714285714285714,0.05
179,A,1.66,3.6,5.75,3,4,3,11,10,117,54,152,82,0,3,7,9,23,115,56,152,71,0.46153846153846156,0.2037037037037037,0.5394736842105263,0.12195121951219512,0.48695652173913045,0.16071428571428573,0.46710526315789475,0.323943661971831
180,D,2.87,3.3,2.5,3,4,3,10,10,109,60,130,64,3,3,4,13,11,134,75,102,40,0.5504587155963303,0.16666666666666666,0.49230769230769234,0.15625,0.5597014925373134,0.17333333333333334,0.39215686274509803,0.275
181,H,1.8,3.4,4.75,1,6,3,18,20,117,60,133,64,1,4,5,11,17,87,47,158,68,0.5128205128205128,0.3,0.48120300751879697,0.3125,0.5402298850574713,0.23404255319148937,0.43037974683544306,0.25
182,D,1.72,3.6,4.75,9,0,1,18,3,119,60,116,61,4,4,2,18,14,115,64,110,53,0.5042016806722689,0.3,0.5258620689655172,0.04918032786885246,0.5565217391304348,0.28125,0.4818181818181818,0.2641509433962264
183,H,1.28,5.5,9.5,7,1,2,28,15,140,70,51,28,4,1,5,14,18,99,50,116,52,0.5,0.4,0.5490196078431373,0.5357142857142857,0.5050505050505051,0.28,0.4482758620689655,0.34615384615384615
184,A,2.25,3.2,3.4,2,4,4,8,11,119,54,152,78,3,5,2,13,9,119,68,107,43,0.453781512605042,0.14814814814814814,0.5131578947368421,0.14102564102564102,0.5714285714285714,0.19117647058823528,0.40186915887850466,0.20930232558139536
185,A,1.91,3.3,4.5,10,0,0,20,2,160,82,105,42,5,4,1,19,9,160,80,60,34,0.5125,0.24390243902439024,0.4,0.047619047619047616,0.5,0.2375,0.5666666666666667,0.2647058823529412
186,H,1.44,4.33,8.0,4,6,0,11,5,124,53,81,43,3,5,2,12,10,127,69,106,47,0.4274193548387097,0.20754716981132076,0.5308641975308642,0.11627906976744186,0.5433070866141733,0.17391304347826086,0.44339622641509435,0.2127659574468085
187,A,2.2,3.2,3.5,2,5,3,7,10,106,59,129,64,2,4,4,4,6,130,56,112,53,0.5566037735849056,0.11864406779661017,0.49612403100775193,0.15625,0.4307692307692308,0.07142857142857142,0.4732142857142857,0.11320754716981132
188,H,1.5,4.0,7.5,4,5,1,11,3,109,56,107,58,2,2,6,10,17,75,28,161,84,0.5137614678899083,0.19642857142857142,0.5420560747663551,0.05172413793103448,0.37333333333333335,0.35714285714285715,0.5217391304347826,0.20238095238095238
189,D,2.2,3.2,3.5,1,3,6,3,13,85,41,173,85,1,2,7,10,18,118,64,129,65,0.4823529411764706,0.07317073170731707,0.4913294797687861,0.15294117647058825,0.5423728813559322,0.15625,0.5038759689922481,0.27692307692307694
190,A,2.1,3.25,3.75,3,1,6,8,16,91,47,154,86,2,3,5,9,13,119,55,151,76,0.5164835164835165,0.1702127659574468,0.5584415584415584,0.18604651162790697,0.46218487394957986,0.16363636363636364,0.5033112582781457,0.17105263157894737
