,result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,home-shots,home-shots_on_target,home-possession,home-opposition_shots,home-opposition_shots_on_target,home-opposition_possession,away-wins,away-draws,away-losses,away-goals,away-opposition-goals,away-shots,away-shots_on_target,away-possession,away-opposition_shots,away-opposition_shots_on_target,away-opposition_possession
2869,H,1.29,5.5,11.0,7,3,0,20,10,169,92,509,83,41,400,1,6,3,7,12,82,34,442,157,81,468
2870,H,1.83,3.75,4.2,4,4,2,13,10,118,63,424,163,81,486,2,2,6,9,22,104,57,410,163,89,499
2871,A,4.0,3.6,1.91,3,2,5,10,16,131,70,416,159,94,494,3,6,1,17,10,154,68,504,93,45,406
2872,D,4.2,3.4,1.91,4,1,5,14,15,111,51,492,119,55,418,6,3,1,20,8,153,73,480,102,44,429
2873,D,1.44,4.33,7.5,3,2,5,16,15,159,70,475,94,42,435,1,7,2,10,10,94,43,399,151,69,510
2874,A,4.2,3.75,1.83,3,3,4,11,17,106,43,442,130,59,468,6,1,3,21,14,151,76,509,114,50,401
2875,H,1.44,4.33,7.5,5,3,2,18,11,155,76,484,91,44,426,1,4,5,8,15,116,55,416,147,69,493
2876,H,1.8,3.6,4.5,5,1,4,18,14,124,71,436,132,59,473,1,4,5,7,15,106,53,417,157,66,492
2877,H,1.29,5.5,11.0,7,0,3,20,10,144,73,520,116,46,390,1,7,2,9,9,94,45,403,152,68,506
2878,H,6.0,4.2,1.53,1,4,5,10,23,125,59,427,126,70,483,4,5,1,20,11,161,71,505,87,44,405
2879,H,2.1,3.4,3.5,3,3,4,17,17,122,62,505,153,90,405,4,2,4,15,15,112,50,491,121,59,419
2880,A,2.5,3.4,2.75,6,3,1,20,10,157,70,483,87,43,427,7,1,2,18,11,139,62,481,113,42,429
2881,A,5.0,3.75,1.7,4,4,2,15,12,119,63,429,142,68,481,7,3,0,21,10,179,95,521,86,44,387
2882,D,3.25,3.4,2.2,1,2,7,10,25,105,59,421,155,83,488,5,4,1,18,10,160,76,467,105,42,442
2883,D,2.5,3.3,2.88,1,6,3,7,11,86,39,436,162,81,473,3,3,4,11,16,110,42,433,133,59,477
2884,H,1.36,5.0,8.5,4,4,2,19,11,160,69,507,88,45,402,1,3,6,10,20,104,58,439,148,77,470
2885,D,2.0,3.5,3.75,1,3,6,7,16,106,48,416,156,61,493,2,4,4,11,20,122,59,425,128,71,484
2886,H,1.22,6.0,15.0,7,3,0,22,11,185,101,525,90,44,383,4,2,4,15,14,130,63,500,151,93,410
2887,D,1.95,3.3,4.2,1,6,3,10,12,89,45,392,151,69,516,1,6,3,8,12,84,34,433,156,76,476
2888,H,2.25,3.4,3.2,3,2,5,12,17,115,53,486,126,63,424,4,2,4,14,15,119,63,430,151,83,480
2889,A,2.4,3.4,2.9,8,1,1,22,11,128,59,485,125,52,425,8,0,2,24,11,149,74,532,108,46,377
2890,D,2.6,3.3,2.75,5,4,1,18,10,159,77,467,103,42,442,3,3,4,14,14,167,73,470,95,46,440
2891,H,2.0,3.5,3.75,2,4,4,10,17,108,43,433,128,54,477,4,3,3,16,14,112,57,418,152,71,492
2892,D,2.75,3.4,2.5,4,2,4,19,16,131,65,450,123,54,459,5,4,1,20,12,158,72,470,105,45,439
2893,H,1.7,3.8,5.0,8,0,2,25,13,137,63,519,108,48,390,5,3,2,17,8,162,72,516,85,46,393
2894,H,2.6,3.3,2.75,2,4,4,9,18,128,61,427,117,66,482,1,7,2,10,11,94,52,396,138,60,512
2895,A,2.1,3.3,3.6,1,6,3,8,12,80,33,427,158,77,482,1,3,6,7,16,107,50,427,149,56,482
2896,D,4.5,3.6,1.8,4,2,4,15,13,126,60,509,133,80,401,8,1,1,23,10,132,66,492,117,48,418
2897,A,1.5,4.33,6.5,6,2,2,19,13,156,71,464,88,43,446,3,2,5,13,18,120,59,475,132,65,435
2898,D,1.57,4.0,6.0,2,4,4,12,15,155,68,464,103,48,446,3,4,3,12,16,105,42,434,117,47,476
2899,D,1.53,4.2,6.0,4,3,3,15,8,156,67,510,86,45,399,4,3,3,21,16,131,66,448,134,61,461
2900,A,7.0,4.5,1.44,2,3,5,8,14,105,46,435,142,46,474,8,0,2,26,14,130,60,512,105,45,397
2901,H,1.44,4.2,8.0,4,5,1,19,13,171,80,469,100,44,440,1,5,4,6,11,86,32,430,151,74,479
2902,D,2.38,3.5,2.88,1,1,8,14,28,111,49,424,132,56,485,3,3,4,15,14,123,59,491,129,79,419
2903,H,1.91,3.4,4.2,1,6,3,8,10,92,48,396,135,64,513,0,4,6,8,19,111,59,445,135,66,464
2904,A,2.3,3.4,3.1,3,2,5,11,16,116,58,466,138,68,444,5,2,3,15,11,108,46,420,149,70,490
2905,D,1.95,3.5,4.0,7,2,1,22,10,123,68,487,121,50,423,2,5,3,13,15,162,71,485,99,42,425
2906,H,1.57,4.0,6.0,7,3,0,21,11,174,94,522,84,41,386,5,2,3,17,14,154,72,465,86,41,445
2907,A,1.95,3.6,3.8,3,5,2,12,14,100,36,433,124,52,477,4,1,5,14,16,120,60,423,165,92,487
2908,H,1.91,3.75,3.8,4,3,3,18,11,146,62,508,90,45,401,5,2,3,17,14,146,66,464,94,45,446
2909,H,1.44,4.33,7.5,2,6,2,14,13,155,69,483,99,42,427,3,2,5,12,16,112,57,463,141,70,447
2910,H,1.2,6.5,15.0,7,3,0,20,10,147,73,501,89,41,408,2,3,5,10,16,100,44,419,151,50,490
2911,A,1.91,3.6,4.0,2,5,3,10,14,111,44,433,120,49,477,2,4,4,11,15,118,57,502,122,75,408
2912,H,7.0,4.5,1.44,2,5,3,8,13,123,58,420,115,55,489,9,0,1,29,15,135,59,523,94,41,386
2913,A,1.91,3.6,4.0,0,4,6,8,15,105,53,442,136,68,467,1,2,7,13,26,115,51,432,120,48,477
2914,H,4.33,3.6,1.83,0,6,4,12,18,103,38,427,155,61,482,4,5,1,20,14,167,82,485,91,37,424
2915,H,3.75,3.5,2.0,5,2,3,14,12,103,47,429,144,66,481,6,3,1,21,11,131,69,483,115,51,427
2916,A,1.67,3.75,5.25,3,4,3,19,19,128,61,444,138,63,465,1,5,4,6,11,80,29,420,152,75,489
2917,D,2.0,3.4,3.8,5,1,4,13,13,118,56,426,153,85,484,2,5,3,8,9,95,49,396,137,65,513
2918,D,4.75,3.75,1.73,2,3,5,9,18,105,51,411,154,51,499,5,2,3,23,13,135,62,500,91,45,409
2919,D,1.44,4.33,7.5,3,5,2,18,15,164,82,490,94,37,420,3,4,3,8,12,117,57,413,122,59,496
2920,H,1.17,7.5,15.0,8,0,2,26,14,129,58,508,91,37,401,0,3,7,8,17,111,55,448,138,70,461
2921,H,2.2,3.3,3.4,2,5,3,9,10,99,50,406,132,68,503,3,4,3,18,19,134,63,461,129,60,448
2922,A,2.5,3.3,2.88,2,5,3,9,11,79,29,426,151,75,483,6,1,3,15,12,97,44,440,144,65,469
2923,H,1.83,3.6,4.33,2,2,6,10,19,109,52,460,144,65,450,1,5,4,13,18,98,36,419,160,63,490
2924,D,2.5,3.5,2.7,5,3,2,18,11,128,70,475,116,52,434,7,3,0,22,8,149,71,497,89,45,412
2925,H,2.3,3.5,3.0,2,2,6,16,25,113,45,429,117,44,480,2,5,3,11,14,128,54,440,121,51,470
2926,D,3.4,3.5,2.1,2,4,4,10,16,122,60,490,141,82,420,3,5,2,15,11,160,70,491,98,42,419
2927,H,1.67,3.75,5.5,5,1,4,18,18,134,59,447,90,43,463,5,2,3,14,11,115,53,431,147,81,479
2928,H,1.95,3.4,4.0,2,3,5,8,17,100,48,414,149,50,496,1,5,4,13,17,108,42,423,156,63,486
2929,D,2.25,3.25,3.3,2,4,4,11,15,90,34,430,136,67,479,0,3,7,8,17,114,57,448,141,71,461
2930,H,1.22,6.5,12.0,8,0,2,26,13,127,60,511,92,41,398,4,2,4,14,14,118,56,422,158,87,488
2931,D,2.0,3.4,3.8,3,2,5,16,22,119,50,436,109,42,473,3,4,3,8,12,115,58,413,124,61,496
2932,H,1.91,3.4,4.2,3,4,3,8,8,95,45,417,127,65,491,2,4,4,10,15,118,50,434,125,51,476
2933,H,2.4,3.4,2.88,6,0,4,20,18,144,64,451,91,46,459,3,6,1,15,9,161,73,492,105,45,418
2934,A,6.0,4.2,1.53,3,1,6,11,19,115,54,452,141,65,458,7,3,0,20,6,148,74,500,79,40,409
2935,D,1.44,4.5,7.0,4,4,2,16,11,122,67,464,114,55,445,3,4,3,18,17,126,55,465,128,57,443
2936,D,2.5,3.4,2.75,3,6,1,19,14,166,83,502,92,38,408,4,3,3,21,13,138,63,500,82,43,409
2937,A,1.44,4.5,7.0,3,4,3,16,13,129,62,493,83,45,416,2,4,4,8,14,126,60,482,154,89,428
2938,A,2.88,3.3,2.5,2,5,3,15,17,111,49,452,133,53,456,6,0,4,19,18,137,61,445,102,53,465
2939,H,1.4,4.5,8.5,3,5,2,15,10,154,73,491,112,47,419,3,3,4,16,17,120,50,446,102,41,462
2940,D,1.5,4.0,7.0,7,3,0,19,5,151,73,497,79,40,412,3,6,1,18,13,163,85,485,95,44,425
2941,D,1.95,3.5,4.0,0,3,7,8,17,117,60,447,141,69,462,2,3,5,7,17,102,48,425,153,54,485
2942,A,7.5,4.75,1.4,1,5,4,12,15,118,48,427,156,65,482,8,0,2,23,13,134,65,510,93,40,399
2943,A,2.1,3.25,3.75,6,1,3,17,14,94,43,432,146,66,477,4,3,3,9,8,99,45,419,122,62,489
2944,H,4.0,3.5,1.91,4,2,4,14,12,119,53,425,172,95,485,4,4,2,16,11,122,61,471,111,53,438
2945,H,2.1,3.3,3.6,3,4,3,9,13,103,51,411,121,62,497,2,4,4,9,13,98,38,438,138,69,471
2946,H,2.0,3.4,3.75,2,3,5,9,15,117,53,449,119,48,461,3,1,6,11,17,115,55,454,139,64,456
2947,H,1.5,4.33,6.5,3,3,4,15,14,129,66,494,80,43,415,6,1,3,17,12,100,45,442,127,56,467
2948,H,1.91,3.6,4.0,2,3,5,12,17,116,52,432,116,51,476,1,5,4,15,18,119,53,424,154,63,485
2949,A,4.75,3.5,1.8,2,3,5,9,14,107,41,430,123,63,479,3,4,3,16,14,115,58,471,109,58,438
2950,A,1.8,3.6,4.5,3,4,3,10,12,128,64,471,148,88,439,4,4,2,11,13,101,48,425,121,61,483
2951,D,2.3,3.4,3.1,3,1,6,10,18,112,54,442,144,65,468,0,4,6,8,16,126,66,452,134,64,457
2952,H,2.0,3.5,3.75,2,7,1,16,14,145,74,480,89,43,430,6,0,4,20,17,126,52,449,102,50,461
2953,A,2.2,3.5,3.2,7,3,0,19,5,149,70,499,83,41,410,8,0,2,25,15,134,64,521,90,39,388
2954,A,3.0,3.3,2.38,4,2,4,14,13,114,54,418,169,90,492,4,5,1,15,8,164,79,498,112,48,412
2955,H,1.91,3.6,4.0,1,5,4,13,19,108,45,455,129,51,453,2,3,5,11,15,119,53,447,119,46,463
2956,H,2.0,3.5,3.75,1,3,6,9,17,104,43,418,121,60,491,1,4,5,13,17,114,53,423,171,71,485
2957,A,1.36,4.75,9.0,4,5,1,13,8,168,79,488,108,45,422,2,4,4,7,14,104,51,420,158,62,490
2958,H,1.2,6.5,15.0,9,0,1,26,14,124,57,497,96,46,412,2,3,5,12,14,107,45,433,111,58,477
2959,A,5.5,3.75,1.67,2,2,6,10,15,134,63,443,122,50,467,7,2,1,20,7,148,69,511,78,37,398
2960,H,2.2,3.4,3.25,5,4,1,13,11,98,49,426,125,56,482,3,2,5,12,19,111,56,442,138,65,468
2961,H,2.4,3.4,2.88,0,5,5,9,16,119,61,451,130,64,458,2,5,3,14,18,115,48,460,130,54,448
2962,D,3.1,3.2,2.4,5,3,2,10,7,91,43,419,117,61,489,2,7,1,15,14,148,77,476,90,47,433
2963,D,2.0,3.5,3.75,5,1,4,16,14,98,42,437,136,61,472,4,1,5,16,16,108,53,422,158,81,488
2964,A,5.5,4.0,1.62,1,3,6,11,18,116,50,428,160,67,480,4,3,3,16,12,131,69,502,80,42,407
2965,H,1.53,4.0,6.5,4,4,2,14,11,177,87,490,109,45,420,2,4,4,13,18,103,44,454,135,53,455
2966,H,1.14,8.0,19.0,7,2,1,21,7,144,67,509,88,40,400,1,3,6,13,22,107,45,418,157,73,490
2967,H,2.1,3.4,3.5,2,2,6,11,15,136,67,455,125,51,455,1,5,4,9,14,123,59,443,124,60,466
2968,A,2.0,3.5,3.75,3,3,4,12,14,127,58,438,109,48,469,2,2,6,12,16,107,53,428,118,56,482
2969,D,1.62,3.75,6.0,5,0,5,18,17,130,58,463,102,50,446,4,4,2,9,8,98,45,425,115,61,483
2970,H,1.91,3.6,4.0,5,1,4,15,13,107,48,444,127,58,465,6,4,0,14,8,106,56,430,116,49,478
2971,A,2.88,3.25,2.5,3,2,5,14,15,104,50,419,168,85,491,2,7,1,14,13,141,71,474,99,53,435
2972,A,4.75,3.75,1.73,3,1,6,11,19,113,59,447,137,64,463,4,3,3,18,13,133,73,514,79,43,395
2973,H,1.33,5.5,8.5,3,4,3,17,14,116,56,477,101,59,432,3,3,4,9,14,90,48,412,171,73,498
2974,D,5.0,4.0,1.67,3,4,3,13,13,126,59,477,131,81,433,9,0,1,26,15,127,54,489,94,53,420
2975,A,3.75,3.5,2.0,3,3,4,9,20,89,48,409,169,80,501,4,1,5,16,17,131,63,465,99,50,444
2976,H,1.44,4.5,7.0,3,6,1,15,13,144,74,486,95,51,423,3,1,6,10,18,117,57,448,131,64,462
2977,H,1.22,6.5,13.0,8,1,1,23,14,135,61,484,100,57,426,3,1,6,11,14,146,69,459,117,55,451
2978,A,6.0,3.75,1.62,5,4,1,14,10,110,57,438,111,47,471,3,4,3,21,13,115,56,478,100,60,431
2979,A,2.2,3.4,3.25,1,4,5,8,14,119,60,437,129,61,472,5,1,4,14,12,107,48,454,124,55,455
2980,D,2.9,3.4,2.38,1,2,7,10,20,103,43,417,167,80,491,3,5,2,14,12,127,63,467,141,87,443
2981,H,3.4,3.2,2.25,4,4,2,9,8,98,45,424,119,63,484,4,4,2,17,11,169,86,494,104,42,416
2982,H,6.5,4.0,1.53,3,1,6,13,16,110,56,423,116,54,487,7,2,1,19,7,141,66,507,85,35,403
2983,H,1.44,4.5,7.0,5,3,2,19,12,128,73,502,89,47,408,2,1,7,12,17,151,72,455,120,56,455
2984,A,2.4,3.25,3.0,3,3,4,9,23,83,48,398,168,86,512,2,1,7,9,19,108,52,437,133,66,473
2985,A,2.1,3.4,3.5,1,4,5,12,22,95,44,440,140,56,469,3,5,2,12,10,114,54,482,131,77,428
2986,H,1.3,5.5,10.0,8,1,1,24,15,132,60,494,104,57,416,6,1,3,15,11,108,48,459,125,54,450
2987,A,6.0,4.0,1.57,5,3,2,13,10,101,55,431,121,51,478,6,2,2,17,7,144,70,514,85,36,396
2988,D,1.8,3.5,4.75,5,4,1,10,5,99,47,432,123,67,477,3,2,5,10,13,128,59,453,102,48,455
2989,A,3.5,3.4,2.1,4,1,5,14,15,106,58,408,131,64,502,5,1,4,18,13,126,61,484,96,49,425
2990,A,2.88,3.3,2.5,4,5,1,15,12,148,78,486,97,55,423,3,4,3,18,11,124,61,482,84,49,427
2991,A,4.0,3.5,1.91,1,4,5,9,15,135,66,451,122,53,458,4,3,3,16,12,175,91,500,96,44,410
2992,H,1.29,5.5,11.0,6,2,2,20,10,147,74,518,87,36,392,5,4,1,13,8,92,44,436,123,70,473
2993,D,5.0,3.75,1.7,3,3,4,12,12,124,61,443,103,48,465,5,3,2,25,15,117,64,496,91,49,413
2994,D,1.57,4.0,6.0,3,5,2,12,10,106,53,474,137,77,436,3,2,5,8,25,90,48,390,161,85,520
2995,H,1.33,5.0,10.0,5,1,4,18,13,130,68,490,92,48,419,1,2,7,9,19,90,40,389,155,73,520
2996,A,2.0,3.5,3.75,6,1,3,14,11,116,56,448,135,60,461,1,3,6,10,21,100,50,442,138,59,467
2997,H,2.1,3.4,3.5,3,2,5,14,14,103,50,412,165,85,498,4,3,3,15,14,96,48,425,123,55,484
2998,A,6.0,4.2,1.53,2,1,7,11,19,108,51,447,133,62,463,8,1,1,24,14,142,66,506,115,67,404
2999,A,1.2,6.5,15.0,4,4,2,18,9,125,59,471,83,49,438,1,3,6,8,17,128,63,440,119,57,470
3000,H,1.4,4.5,8.5,5,2,3,18,11,168,88,509,102,49,401,4,1,5,14,15,109,60,416,131,64,494
3001,A,3.0,3.4,2.38,2,0,8,14,23,149,75,454,108,48,455,4,4,2,14,12,135,69,488,100,55,421
3002,A,2.55,3.5,2.9,2,3,5,9,27,89,49,374,168,93,536,3,4,3,12,11,121,62,437,100,49,471
3003,D,1.57,4.2,6.5,4,4,2,14,12,134,72,479,109,63,430,3,6,1,14,11,121,60,489,136,79,421
3004,D,2.05,3.5,4.0,2,2,6,10,20,100,46,447,130,52,462,2,1,7,10,21,105,51,448,137,65,462
3005,D,2.2,3.6,3.4,4,2,4,16,16,96,50,425,126,59,484,2,0,8,15,24,147,76,450,111,56,459
3006,D,4.5,3.8,1.85,2,3,5,9,16,120,63,429,137,59,481,6,1,3,21,13,145,75,493,91,46,416
3007,H,3.0,3.4,2.5,1,1,8,10,22,86,40,378,171,85,531,5,1,4,13,13,121,60,448,135,58,461
3008,A,4.33,3.5,1.95,5,4,1,13,10,85,42,428,123,64,481,4,3,3,17,9,145,60,476,79,46,433
3009,H,2.38,3.3,3.3,3,1,6,11,17,109,62,409,137,69,501,3,2,5,12,14,110,51,423,167,87,487
3010,A,2.63,3.5,2.8,5,4,1,25,14,119,66,498,89,49,411,6,2,2,21,9,149,74,527,83,36,383
3011,H,1.91,3.8,4.2,8,1,1,25,12,135,65,490,115,67,420,6,1,3,20,10,182,97,509,97,52,401
3012,H,1.33,5.5,10.5,5,1,4,18,12,174,95,494,100,55,416,3,3,4,15,16,100,50,430,124,56,479
3013,H,2.2,3.4,3.6,3,6,1,13,10,115,56,485,143,79,425,4,4,2,12,14,84,40,430,118,66,479
3014,D,1.75,4.0,5.0,4,1,5,13,15,123,59,451,130,60,458,2,3,5,7,25,96,52,391,157,87,519
3015,D,2.1,3.5,3.75,3,2,5,11,15,101,49,421,160,82,489,2,4,4,8,13,115,61,419,141,62,491
3016,A,2.15,3.4,3.8,2,2,6,11,19,110,56,445,127,62,465,4,1,5,12,13,108,62,416,137,70,494
3017,H,1.91,3.6,4.0,5,2,3,20,8,142,63,484,81,45,425,5,3,2,22,13,114,64,491,96,52,418
3018,D,2.9,3.6,2.5,6,2,2,20,11,158,83,504,83,43,405,9,1,0,27,12,137,65,498,120,69,412
3019,D,3.6,3.5,2.05,4,4,2,13,9,119,59,434,101,52,474,4,5,1,13,10,137,72,481,106,65,428
3020,H,1.44,4.75,8.0,4,3,3,18,13,116,65,474,101,55,435,2,3,5,11,16,113,59,434,152,77,476
3021,A,2.9,3.4,2.6,2,4,4,9,22,99,49,400,162,86,510,2,1,7,14,22,127,66,445,110,53,464
3022,D,7.5,4.5,1.5,2,5,3,8,11,110,58,416,150,69,494,6,2,2,18,9,145,72,525,82,32,385
3023,D,2.2,3.3,3.75,4,3,3,12,16,83,39,420,116,59,489,1,2,7,10,20,114,56,446,125,60,464
3024,D,2.5,3.4,3.0,5,0,5,15,15,108,62,412,145,69,498,4,5,1,15,10,122,55,494,139,77,416
3025,D,2.4,3.5,3.1,5,2,3,23,14,125,71,482,97,52,427,6,0,4,23,12,171,93,504,89,49,406
3026,H,1.25,6.5,14.0,8,2,0,25,12,129,61,490,132,78,420,4,4,2,12,8,118,60,443,106,56,465
3027,D,4.75,3.75,1.83,3,2,5,14,20,96,47,426,124,56,483,6,3,1,19,7,175,95,509,80,41,400
3028,H,1.6,4.1,6.5,4,5,1,12,9,132,70,471,109,67,438,3,2,5,13,16,141,62,451,123,55,459
3029,H,2.2,3.5,3.5,2,2,6,8,18,102,47,455,131,54,454,2,2,6,11,20,103,53,421,163,84,489
3030,H,1.44,4.5,9.0,5,2,3,24,15,131,69,484,94,48,425,3,4,3,13,18,77,38,413,120,61,497
3031,A,5.5,4.2,1.65,3,2,5,10,16,98,43,455,133,53,454,8,2,0,26,13,117,55,491,141,84,419
3032,H,4.0,3.6,2.0,3,1,6,16,21,132,68,456,106,53,453,6,2,2,21,7,135,60,496,85,47,414
3033,D,1.95,3.6,4.33,2,5,3,8,11,102,50,398,153,70,512,3,2,5,14,20,91,41,423,123,58,487
3034,H,2.5,3.4,3.0,1,1,8,11,23,84,44,379,167,81,530,5,1,4,14,13,97,57,416,156,75,494
3035,H,2.4,3.4,3.2,2,2,6,11,20,100,49,431,152,78,479,3,6,1,13,9,127,57,500,114,65,410
3036,D,2.2,3.5,3.5,1,3,6,12,20,116,57,459,120,58,451,3,4,3,10,9,122,63,437,107,57,471
3037,D,1.83,3.9,4.5,6,2,2,18,9,152,74,536,83,33,374,6,1,3,24,12,166,89,500,95,51,410
3038,A,3.6,3.4,2.2,2,2,6,10,16,140,62,444,122,53,466,5,4,1,17,7,163,92,503,77,37,406
3039,H,1.36,5.5,9.5,6,1,3,23,10,142,65,502,92,52,408,1,4,5,14,19,112,56,469,126,63,441
3040,D,2.3,3.4,3.4,2,3,5,12,19,97,48,412,122,57,498,3,2,5,10,16,108,48,446,135,57,463
3041,H,5.75,4.0,1.67,2,5,3,10,11,127,67,430,104,56,478,5,3,2,18,11,147,72,529,93,37,381
3042,H,1.91,3.5,4.6,2,4,4,11,18,74,36,410,131,67,500,2,1,7,11,21,78,38,388,161,78,521
3043,A,4.5,3.6,1.91,5,1,4,14,12,101,59,420,156,77,490,6,2,2,25,13,139,72,485,89,42,424
3044,H,1.83,3.75,4.75,3,5,2,13,10,120,53,505,110,60,405,2,5,3,7,10,98,44,397,154,73,513
3045,H,1.67,4.0,5.75,5,4,1,16,6,172,96,513,67,32,396,4,1,5,18,21,140,73,455,109,56,454
3046,H,2.63,3.4,2.88,2,3,5,10,24,104,52,392,162,85,518,3,2,5,12,19,104,51,432,139,71,478
3047,H,1.75,3.9,5.0,8,2,0,23,10,125,60,496,148,87,413,5,4,1,13,9,134,68,483,104,61,426
3048,A,1.4,5.0,9.0,5,2,3,25,14,162,85,487,95,49,423,2,2,6,10,16,130,56,430,139,61,480
3049,H,1.57,4.4,6.0,4,2,4,22,14,173,92,496,89,47,414,3,5,2,15,11,119,55,521,114,59,389
3050,H,1.33,5.5,11.0,6,2,2,24,13,138,74,489,94,47,420,2,3,5,11,25,93,45,387,165,86,523
3051,H,2.2,3.3,3.75,3,2,5,10,16,107,47,458,137,62,451,2,4,4,12,19,84,45,418,122,61,492
3052,H,3.8,3.5,2.1,1,4,5,8,16,102,48,412,114,59,498,5,3,2,12,10,135,72,484,101,59,425
3053,A,7.0,4.33,1.53,2,4,4,6,12,108,50,382,154,76,528,8,2,0,22,8,127,63,510,145,87,399
3054,A,2.63,3.4,2.88,2,1,7,12,22,70,34,386,156,78,523,1,3,6,13,21,109,54,466,138,69,444
3055,H,2.05,3.5,4.0,3,2,5,12,14,125,56,428,147,69,482,4,1,5,11,13,102,58,406,158,77,504
3056,H,1.95,3.6,4.33,5,2,3,18,13,143,71,526,96,37,384,7,0,3,27,11,146,70,502,91,51,408
3057,H,2.2,3.5,3.2,3,1,6,16,23,133,71,448,116,60,461,3,4,3,12,11,127,65,428,97,52,481
3058,A,3.6,3.5,2.15,2,2,6,10,20,110,51,436,135,67,474,5,4,1,15,7,180,101,511,68,35,398
3059,H,1.4,5.0,9.0,7,0,3,26,10,141,67,498,94,50,412,4,1,5,14,15,116,48,419,145,70,491
3060,H,1.38,5.0,10.0,4,3,3,11,11,130,68,491,97,57,419,2,1,7,9,21,67,29,388,160,82,521
3061,A,1.85,3.8,4.5,3,4,3,14,14,126,63,442,83,43,466,1,4,5,4,13,105,51,383,162,82,527
3062,A,2.15,3.25,4.0,2,3,5,11,19,74,39,410,132,64,500,2,2,6,10,20,111,55,429,143,72,481
3063,D,2.4,3.3,3.3,4,1,5,11,12,97,53,414,157,78,496,4,2,4,11,13,118,52,471,137,62,438
3064,H,2.1,3.6,3.75,3,5,2,12,12,107,56,507,127,59,403,4,1,5,19,23,123,64,449,109,57,459
3065,A,4.5,3.75,1.85,2,3,5,15,19,111,56,465,130,61,445,5,2,3,26,11,170,84,496,87,47,414
3066,H,2.3,3.6,3.25,6,4,0,17,7,192,106,516,62,35,394,6,2,2,21,12,141,75,472,95,48,437
3067,A,7.5,4.5,1.44,2,2,6,11,26,88,43,393,171,88,517,6,2,2,18,10,143,70,518,97,40,392
3068,D,2.5,3.4,3.0,1,4,5,8,16,94,44,408,115,58,502,2,4,4,14,16,124,65,449,82,44,460
3069,H,2.25,3.4,3.5,2,4,4,6,13,105,49,378,164,87,532,3,2,5,12,14,97,51,418,151,75,492
3070,A,2.45,3.4,3.1,2,1,7,10,23,71,32,383,155,82,527,1,2,7,8,26,94,43,399,164,82,511
3071,H,2.45,3.3,3.2,3,1,6,12,15,115,48,409,160,86,501,4,4,2,12,11,103,53,514,118,52,396
3072,H,1.95,3.8,4.0,5,2,3,26,11,159,82,485,93,51,425,7,3,0,19,8,181,101,508,71,38,402
3073,H,1.83,3.7,4.8,4,1,5,18,21,117,63,447,103,56,461,2,2,6,11,20,83,43,415,123,62,495
3074,H,2.3,3.4,3.4,2,2,6,10,19,105,44,413,156,74,497,3,4,3,8,12,98,45,373,160,85,537
3075,H,3.9,3.6,2.05,5,2,3,13,11,137,73,499,90,54,411,6,2,2,16,9,148,74,518,91,37,392
3076,H,1.17,9.0,19.0,8,2,0,21,7,125,68,506,145,83,403,2,1,7,11,22,66,28,382,160,78,528
3077,H,4.2,3.8,1.91,2,5,3,14,15,126,67,448,79,43,461,6,2,2,28,10,151,76,475,101,52,435
3078,D,2.5,3.3,3.1,1,2,7,9,21,81,41,409,117,58,501,3,1,6,12,15,114,50,409,148,81,501
3079,A,3.4,3.5,2.25,4,3,3,13,13,102,54,491,126,57,419,5,2,3,21,14,144,74,474,90,47,435
3080,H,1.4,5.0,9.0,7,0,3,24,9,156,85,494,95,51,416,3,1,6,11,20,113,60,437,134,68,473
3081,D,2.05,3.5,4.0,2,2,6,12,17,94,48,435,142,66,475,1,5,4,7,14,91,45,408,119,61,502
3082,H,2.3,3.4,3.4,2,3,5,15,22,111,59,466,124,57,444,4,1,5,19,22,110,62,450,103,55,458
3083,H,1.25,6.5,15.0,5,2,3,16,11,147,77,467,91,43,443,2,1,7,9,18,66,28,390,154,72,520
3084,H,1.57,3.9,7.5,5,2,3,13,10,130,69,494,105,65,416,1,2,7,6,18,90,44,408,120,58,502
3085,H,1.33,5.5,11.0,5,2,3,15,11,146,78,506,93,40,404,4,1,5,17,20,103,56,454,105,57,453
3086,H,3.5,3.5,2.2,3,4,3,14,13,135,71,458,83,46,451,7,0,3,18,9,157,84,493,103,57,417
3087,A,6.0,4.0,1.65,2,3,5,12,16,102,51,441,135,59,469,9,1,0,21,6,119,62,510,138,78,399
3088,A,3.4,3.4,2.3,3,3,4,11,14,102,49,500,120,55,410,6,3,1,17,11,180,97,501,75,39,409
3089,H,2.3,3.4,3.4,3,1,6,10,20,122,67,441,138,71,469,3,2,5,12,13,107,44,416,144,77,494
3090,H,1.95,3.6,4.33,3,3,4,16,21,112,57,470,113,52,439,1,6,3,8,14,93,45,413,118,60,497
3091,A,5.0,4.0,1.75,3,2,5,13,17,113,47,436,158,70,474,5,2,3,26,13,149,76,455,101,54,455
3092,H,2.0,3.6,4.0,3,3,4,11,14,110,49,471,127,54,438,3,4,3,10,12,101,45,380,159,82,530
3093,D,2.63,3.3,2.9,1,6,3,5,11,94,46,417,120,57,493,3,2,5,10,14,92,42,492,118,53,418
3094,A,3.3,3.6,2.25,2,1,7,10,21,64,30,385,149,71,525,4,3,3,15,13,136,70,467,85,49,442
