result,odds-home,odds-draw,odds-away,home-wins,home-draws,home-losses,home-goals,home-opposition-goals,away-wins,away-draws,away-losses,away-goals,away-opposition-goals
D,2.3,3.25,3.2,4,3,3,11,14,4,2,4,13,13
H,1.57,3.8,6.0,2,4,4,11,9,2,1,7,8,22
H,2.6,3.3,2.62,2,4,4,10,9,6,1,3,14,11
H,2.1,3.2,3.3,3,6,1,14,9,5,1,4,17,13
A,1.36,4.5,9.0,7,1,2,25,11,5,1,4,19,17
A,2.8,3.3,2.3,2,3,5,12,13,3,4,3,16,14
H,1.2,6.5,13.0,7,2,1,18,9,2,3,5,12,18
H,1.45,4.0,6.0,6,1,3,16,15,3,2,5,14,22
H,1.67,3.5,4.75,3,4,3,8,13,0,1,9,4,21
D,1.45,3.8,6.5,5,2,3,21,13,2,1,7,7,19
A,2.1,3.3,3.5,4,2,4,11,12,4,3,3,13,12
H,2.7,3.25,2.4,4,1,5,16,14,7,1,2,18,11
A,3.0,3.3,2.2,5,3,2,22,14,8,0,2,25,12
A,3.4,3.25,2.0,5,3,2,14,11,7,2,1,17,10
H,1.44,4.0,6.5,5,1,4,14,15,2,3,5,12,13
H,2.7,3.2,2.4,0,1,9,5,20,4,2,4,12,13
H,2.9,3.2,2.25,1,2,7,6,19,4,5,1,15,9
D,2.3,3.25,2.8,2,2,6,12,24,5,3,2,21,12
A,1.57,3.6,5.25,5,1,4,19,17,4,3,3,9,13
A,3.2,3.25,2.1,2,2,6,13,20,3,4,3,13,8
A,4.75,3.6,1.66,5,2,3,10,13,6,1,3,23,13
A,2.4,3.25,2.7,4,4,2,14,9,6,1,3,16,13
D,3.25,3.2,2.2,2,2,6,10,13,4,1,5,15,15
A,2.6,3.25,2.5,3,2,5,11,16,4,3,3,17,14
A,1.57,3.5,5.5,4,4,2,18,13,2,2,6,13,19
D,1.8,3.4,4.0,5,0,5,17,13,2,2,6,12,24
H,1.2,5.5,11.0,7,2,1,16,9,1,1,8,5,17
H,1.3,5.0,8.5,7,1,2,18,9,2,2,6,8,18
H,1.9,3.3,3.6,3,4,3,12,8,5,2,3,14,12
A,4.33,3.4,1.72,3,2,5,13,16,7,1,2,18,10
A,5.0,3.75,1.66,4,2,4,9,15,7,2,1,16,7
H,1.2,5.5,13.0,6,1,3,24,14,2,3,5,10,12
A,1.66,3.4,4.75,7,1,2,17,10,5,1,4,17,12
D,1.57,3.5,5.5,3,2,5,14,15,3,2,5,12,19
H,2.0,3.2,3.5,4,2,4,13,13,3,4,3,13,10
A,2.5,3.2,2.62,2,1,7,8,20,2,3,5,13,22
H,1.57,3.5,5.5,5,3,2,21,14,4,3,3,17,14
D,3.1,3.2,2.15,1,1,8,4,18,3,4,3,10,8
A,4.33,3.5,1.72,3,3,4,13,18,7,1,2,26,14
A,1.9,3.25,3.8,8,1,1,19,7,6,1,3,16,12
D,2.15,3.3,3.1,2,5,3,11,10,3,3,4,16,16
D,2.7,3.3,2.37,3,2,5,16,21,5,3,2,21,13
H,1.57,3.5,5.75,5,1,4,16,12,3,2,5,13,17
H,1.66,3.4,5.0,3,4,3,12,9,0,2,8,3,19
D,2.1,3.3,3.2,2,3,5,12,13,3,2,5,8,17
H,1.22,5.75,10.0,7,2,1,17,7,1,1,8,7,24
D,2.4,3.3,2.7,4,2,4,15,14,5,2,3,14,12
D,2.7,3.2,2.45,5,3,2,14,9,7,1,2,17,9
H,2.25,3.2,3.0,8,0,2,25,12,7,2,1,18,7
H,2.1,3.25,3.25,0,2,8,4,20,1,4,5,10,13
A,3.0,3.2,2.2,1,1,8,6,24,6,1,3,17,10
D,2.1,3.4,3.1,2,3,5,7,17,2,3,5,12,19
D,1.8,3.4,4.0,3,4,3,16,15,3,4,3,10,9
A,2.3,3.2,2.87,3,1,6,12,17,3,3,4,18,21
D,1.4,4.5,8.0,7,1,2,17,9,3,3,4,12,13
A,1.66,3.4,5.0,5,3,2,22,14,2,5,3,11,10
D,5.75,3.75,1.55,3,4,3,13,12,8,0,2,26,13
H,3.0,3.4,2.3,4,2,4,19,21,6,2,2,16,9
H,2.0,3.4,3.4,2,4,4,11,15,1,3,6,11,15
H,1.44,3.75,7.5,6,2,2,17,11,3,4,3,15,14
A,2.62,3.25,2.45,3,5,2,9,7,4,3,3,18,15
H,1.36,4.5,6.5,6,2,2,15,9,1,2,7,7,19
H,1.66,3.75,4.75,2,5,3,12,10,2,4,4,7,15
H,1.85,3.3,4.0,2,1,7,11,19,1,1,8,5,27
D,2.0,3.25,3.5,7,0,3,22,9,5,4,1,14,8
A,2.8,3.2,2.37,3,3,4,13,16,6,2,2,15,10
A,6.5,3.6,1.57,1,3,6,9,15,6,2,2,19,11
H,1.4,4.5,8.0,7,1,2,24,12,6,1,3,21,9
A,2.4,3.1,3.1,2,4,4,7,16,3,5,2,9,7
H,1.4,4.5,8.0,6,2,2,16,9,3,1,6,15,17
A,1.8,3.4,4.2,4,5,1,14,9,4,2,4,16,21
H,1.85,3.6,4.0,1,1,8,6,19,3,5,2,14,11
H,1.28,5.5,9.5,4,3,3,17,15,1,1,8,4,26
D,2.5,3.25,2.8,3,3,4,12,13,3,4,3,13,8
H,4.5,3.6,1.75,5,1,4,14,18,7,1,2,25,12
H,1.57,3.5,6.0,6,2,2,16,11,6,2,2,18,12
H,0.0,0.0,0.0,3,4,3,12,7,1,2,7,8,15
D,2.1,3.25,3.6,3,5,2,10,8,3,4,3,12,12
H,2.88,3.4,2.38,3,1,6,18,20,3,2,5,13,18
A,1.8,3.4,4.0,7,2,1,18,9,5,2,3,16,12
D,1.75,3.5,4.75,5,1,4,20,11,2,1,7,7,17
H,2.7,3.25,2.62,3,4,3,14,13,2,3,5,8,18
A,4.33,3.6,1.8,1,1,8,4,24,4,4,2,14,10
A,3.75,3.3,2.0,2,2,6,7,18,7,1,2,18,12
H,4.75,3.5,1.66,3,4,3,11,11,7,2,1,16,7
H,1.65,3.6,4.75,6,2,2,19,10,4,2,4,14,11
A,2.25,3.2,3.0,1,2,7,6,14,3,5,2,10,8
H,1.57,3.75,5.25,5,3,2,15,10,4,1,5,18,18
H,2.2,3.3,3.0,1,2,7,4,15,5,1,4,14,18
A,1.57,3.75,5.25,3,1,6,13,19,4,3,3,14,12
H,1.22,5.5,11.0,6,1,3,17,13,1,1,8,5,20
H,1.4,4.0,7.0,6,1,3,22,12,3,4,3,11,6
D,5.0,3.6,1.6,4,5,1,12,7,7,0,3,23,11
H,1.9,3.3,4.2,5,2,3,14,11,1,2,7,6,13
H,1.5,4.0,7.0,7,1,2,19,13,3,4,3,9,11
H,2.0,3.4,3.6,4,1,5,13,11,3,1,6,13,16
D,4.75,3.6,1.72,3,1,6,15,21,6,2,2,19,10
A,3.1,3.3,2.3,1,1,8,5,19,2,2,6,4,13
D,1.85,3.5,4.2,4,1,5,12,18,2,2,6,9,18
A,1.66,3.6,5.25,7,1,2,19,11,6,2,2,17,10
H,1.36,4.33,7.5,6,2,2,12,8,2,4,4,8,8
H,1.67,3.5,5.0,6,1,3,21,11,7,1,2,18,13
H,3.2,3.25,2.25,2,2,6,3,13,6,1,3,16,12
A,1.91,3.5,4.0,2,3,5,9,11,5,1,4,16,10
H,1.33,4.75,10.0,6,2,2,14,9,3,6,1,9,5
A,2.0,3.3,3.8,2,3,5,8,16,3,2,5,13,18
A,2.25,3.3,3.2,1,2,7,8,15,3,2,5,12,19
H,1.95,3.4,3.8,3,3,4,10,13,6,2,2,17,11
H,1.4,4.5,8.0,3,1,6,13,16,1,1,8,5,18
H,1.8,3.3,4.2,5,3,2,18,11,7,2,1,21,10
A,4.5,3.5,1.73,6,2,2,19,11,7,1,2,21,9
A,6.0,3.75,1.57,5,2,3,16,12,6,2,2,13,9
H,1.29,5.25,9.5,7,1,2,17,10,1,2,7,8,14
H,4.33,3.5,1.83,1,1,8,5,20,4,2,4,11,13
A,2.38,3.25,3.0,3,2,5,11,18,4,1,5,17,16
D,2.62,3.3,2.62,6,1,3,16,11,5,3,2,16,10
H,2.38,3.3,2.62,3,2,5,14,19,3,1,6,4,13
H,1.73,3.4,5.0,6,0,4,18,11,2,3,5,9,17
H,2.38,3.25,3.0,3,5,2,9,6,1,3,6,8,13
H,2.6,3.2,2.75,1,3,6,8,12,7,1,2,17,10
A,0.0,0.0,0.0,5,1,4,18,15,5,2,3,15,13
H,2.1,3.3,3.2,3,2,5,11,16,7,0,3,23,11
A,3.2,3.3,2.1,2,1,7,4,16,4,4,2,17,12
H,1.14,6.0,15.0,7,1,2,20,9,4,2,4,16,17
H,1.18,6.0,13.0,7,2,1,16,8,3,2,5,11,18
H,1.8,3.3,4.2,3,5,2,8,6,4,2,4,15,15
D,1.5,3.8,6.0,2,3,5,8,19,2,1,7,8,18
A,3.4,3.2,2.05,1,2,7,10,15,5,2,3,16,11
D,11.0,6.0,1.2,2,2,6,10,19,8,0,2,24,9
D,5.5,3.6,1.57,6,0,4,20,11,7,2,1,17,8
D,1.44,4.0,6.5,4,1,5,15,20,1,2,7,8,14
H,2.3,3.25,2.87,3,1,6,11,21,4,2,4,11,14
H,1.36,4.33,7.5,5,3,2,19,12,5,1,4,18,14
A,1.44,4.2,7.0,6,1,3,15,11,4,4,2,11,6
H,1.57,3.6,5.5,5,2,3,14,10,1,1,8,4,19
A,1.4,4.0,7.5,6,2,2,16,10,2,3,5,9,20
H,2.6,3.25,2.5,3,2,5,12,16,2,3,5,9,9
H,1.44,4.33,7.0,6,3,1,16,8,6,1,3,17,13
H,2.25,3.3,3.2,3,2,5,11,16,6,2,2,16,10
A,2.38,3.3,3.0,4,2,4,15,16,5,1,4,18,10
A,4.0,3.75,1.83,3,3,4,9,18,5,3,2,19,13
A,1.73,3.6,4.75,5,4,1,14,7,3,2,5,13,19
H,1.91,3.5,4.0,2,3,5,9,10,3,1,6,12,22
H,1.14,7.5,19.0,7,1,2,24,10,0,1,9,3,20
D,2.05,3.5,3.5,1,3,6,8,13,2,3,5,10,16
H,2.62,3.3,2.62,4,1,5,15,15,6,2,2,15,8
A,8.0,4.0,1.4,5,2,3,15,13,7,1,2,23,11
A,4.33,3.8,1.67,5,3,2,19,13,7,2,1,17,7
H,1.33,4.33,8.5,5,1,4,18,10,1,4,5,8,12
A,1.53,3.8,5.75,4,2,4,14,17,4,2,4,14,14
A,2.6,3.25,2.5,0,0,10,3,22,4,1,5,15,15
H,2.0,3.3,3.8,3,1,6,13,23,5,4,1,14,8
H,1.44,3.75,7.5,5,1,4,13,14,3,2,5,13,17
A,1.91,3.6,3.4,5,2,3,15,10,3,3,4,9,16
H,3.75,3.25,1.95,2,4,4,10,13,3,3,4,12,10
A,2.5,3.25,2.6,5,2,3,15,12,5,1,4,14,13
A,2.88,3.3,2.25,4,1,5,16,16,5,2,3,17,12
D,2.3,3.3,2.88,4,4,2,13,11,5,1,4,16,9
A,5.75,3.6,1.57,4,3,3,11,12,7,1,2,24,11
H,2.3,3.3,2.8,4,1,5,16,22,5,2,3,16,12
D,2.9,3.3,2.25,0,0,10,3,21,3,3,4,12,10
H,2.5,3.25,2.6,6,2,2,21,14,6,2,2,21,11
H,1.5,3.75,6.5,4,6,0,19,8,3,6,1,16,12
D,1.85,3.5,4.2,3,3,4,11,16,2,3,5,8,13
H,1.91,3.3,4.2,5,0,5,16,21,3,2,5,14,17
H,3.1,3.4,2.25,0,2,8,9,27,2,2,6,16,19
H,1.73,3.5,5.0,3,4,3,9,10,4,1,5,15,18
H,1.7,3.4,4.75,6,2,2,22,15,5,2,3,21,12
H,1.29,5.0,9.0,6,2,2,23,11,3,3,4,13,18
A,1.85,3.3,4.0,2,6,2,12,11,6,0,4,17,14
H,1.91,3.3,3.8,4,3,3,16,15,4,3,3,12,11
D,2.1,3.2,3.3,2,2,6,12,19,2,2,6,17,19
H,1.67,3.4,5.0,2,4,4,11,14,1,2,7,12,27
H,5.5,3.5,1.6,3,1,6,13,20,5,5,0,20,8
D,1.5,4.0,7.0,5,4,1,18,8,4,3,3,17,15
A,3.25,3.3,2.2,5,2,3,14,13,4,2,4,18,13
D,2.25,3.3,3.2,3,3,4,12,18,3,1,6,11,19
D,1.83,3.6,4.2,2,3,5,17,18,3,3,4,11,12
A,2.4,3.3,2.9,2,2,6,12,19,2,5,3,13,13
A,3.4,3.4,2.1,6,0,4,15,14,6,2,2,18,10
A,7.0,4.33,1.44,1,2,7,12,26,7,2,1,23,12
H,1.25,5.25,12.0,7,2,1,24,13,5,1,4,13,13
H,1.29,5.0,11.0,6,2,2,18,10,2,1,7,11,20
H,1.73,3.6,4.75,3,5,2,15,12,2,4,4,17,16
D,1.73,3.5,4.33,4,3,3,17,15,3,3,4,10,16
A,1.7,3.6,5.0,4,2,4,17,13,4,2,4,11,14
H,2.5,3.25,2.8,3,4,3,12,11,5,0,5,13,16
D,1.4,4.33,8.0,3,2,5,11,16,1,1,8,13,28
H,2.2,3.3,3.25,4,5,1,18,9,7,2,1,21,11
A,3.4,3.4,2.1,4,5,1,16,10,7,2,1,18,6
A,3.0,3.4,2.3,3,4,3,12,16,4,2,4,17,13
H,2.1,3.4,3.4,2,4,4,15,15,3,3,4,12,15
D,2.0,3.4,3.75,2,1,7,11,20,4,3,3,11,8
H,3.75,3.6,1.91,0,2,8,12,28,3,4,3,17,16
H,1.6,3.75,5.75,4,2,4,9,13,5,1,4,12,12
A,1.5,4.2,6.25,6,2,2,21,14,5,2,3,13,10
H,1.17,7.0,15.0,7,2,1,18,6,1,2,7,14,26
D,2.5,3.25,2.8,5,1,4,12,14,3,3,4,16,15
H,1.8,3.6,4.33,2,4,4,13,18,4,0,6,11,17
H,2.9,3.3,2.4,4,2,4,17,12,5,5,0,21,8
H,2.9,3.3,2.4,3,4,3,9,8,3,5,2,14,12
H,2.1,3.3,3.5,2,3,5,11,17,2,1,7,10,19
H,1.3,5.0,10.0,5,2,3,19,14,3,3,4,11,17
H,1.25,5.75,11.0,7,2,1,19,7,4,3,3,10,8
H,5.0,3.5,1.73,5,2,3,13,14,5,4,1,21,9
H,1.62,3.6,5.75,3,3,4,16,18,2,1,7,10,18
H,1.62,3.6,5.75,5,2,3,19,12,3,3,4,16,15
H,2.05,3.3,3.6,3,2,5,11,16,4,0,6,12,19
H,1.36,4.75,8.0,5,2,3,14,11,1,2,7,13,26
D,1.95,3.3,4.0,4,4,2,18,10,5,2,3,13,10
D,1.85,3.5,4.2,2,5,3,13,14,4,1,5,11,14
D,2.3,3.3,3.1,3,2,5,9,16,6,2,2,14,10
A,5.25,3.6,1.67,3,3,4,17,16,7,2,1,18,7
A,4.75,3.6,1.73,2,1,7,10,17,5,2,3,19,14
H,2.5,3.3,2.75,3,3,4,8,9,4,2,4,15,16
A,2.9,3.3,2.4,4,0,6,12,19,5,2,3,20,13
D,1.36,4.5,9.0,6,2,2,19,11,4,0,6,13,20
A,1.25,5.5,12.0,4,5,1,19,10,1,1,8,11,27
A,2.25,3.3,3.2,6,2,2,13,9,4,2,4,9,9
H,1.73,3.6,4.75,4,2,4,15,15,2,3,5,16,18
H,1.8,3.6,4.33,5,2,3,23,14,2,6,2,13,12
A,5.0,3.6,1.7,4,2,4,10,12,7,2,1,19,8
D,1.44,4.33,7.0,4,3,3,13,11,3,3,4,9,14
H,1.73,3.6,4.75,6,3,1,22,7,6,2,2,22,14
D,2.2,3.3,3.25,2,6,2,13,12,4,2,4,12,14
A,3.5,3.3,2.1,4,1,5,13,17,5,4,1,19,10
A,3.6,3.5,2.0,2,0,8,10,18,5,2,3,22,14
D,2.0,3.4,3.75,4,2,4,9,8,3,2,5,9,14
H,2.4,3.25,2.9,5,1,4,13,14,3,1,6,8,20
A,2.5,3.25,2.8,1,1,8,10,27,5,2,3,11,11
H,1.5,3.6,7.0,6,1,3,16,12,3,5,2,11,12
H,1.3,5.0,10.0,7,1,2,22,11,4,1,5,16,17
D,2.2,3.3,3.25,5,2,3,17,9,5,1,4,13,13
H,1.44,3.75,7.5,5,2,3,17,12,5,1,4,19,19
D,1.75,3.5,4.75,4,2,4,15,16,4,2,4,9,12
D,3.6,3.3,2.0,2,4,4,11,11,6,3,1,13,8
H,1.44,4.2,7.5,6,3,1,19,10,2,2,6,15,18
H,1.5,3.9,7.0,4,5,1,19,9,2,0,8,10,18
H,2.1,3.3,3.5,6,1,3,13,12,4,1,5,14,19
H,1.8,3.5,4.5,3,3,4,13,16,2,3,5,8,15
H,1.75,3.5,4.75,3,4,3,9,13,1,1,8,10,26
D,3.1,3.3,2.3,5,2,3,18,12,7,2,1,18,7
H,1.73,3.5,4.5,3,4,3,10,11,2,6,2,15,14
H,1.4,4.5,8.0,6,3,1,19,9,4,3,3,14,15
D,1.83,3.6,4.2,2,6,2,14,13,7,1,2,18,12
H,3.5,3.3,2.1,2,2,6,15,17,5,4,1,19,7
H,2.9,3.25,2.4,2,0,8,10,19,4,3,3,9,9
A,3.75,3.4,2.0,4,3,3,10,8,6,3,1,20,11
H,2.5,3.3,2.75,4,1,5,14,19,4,3,3,12,13
A,5.0,3.75,1.67,1,1,8,10,26,4,3,3,18,13
H,1.44,4.5,7.0,6,2,2,22,13,2,3,5,8,14
A,3.0,3.25,2.38,5,4,1,19,8,6,3,1,18,9
H,2.15,3.25,3.4,6,2,2,16,11,3,0,7,12,18
A,2.8,3.25,2.5,4,2,4,12,14,2,6,2,12,11
D,1.5,4.0,7.0,4,3,3,21,13,3,3,4,10,12
A,2.8,3.25,2.5,0,1,9,9,30,5,0,5,14,18
A,1.7,3.6,5.0,4,2,4,9,11,3,2,5,16,14
H,2.88,3.3,2.3,3,5,2,13,10,6,3,1,23,12
H,1.73,3.6,4.33,3,3,4,14,17,7,1,2,18,12
H,1.91,3.4,3.75,5,2,3,20,13,3,1,6,11,22
A,1.53,3.75,6.0,3,0,7,13,19,0,1,9,9,30
H,2.6,3.25,2.5,2,4,4,10,14,4,1,5,9,14
D,3.0,3.3,2.2,6,0,4,15,17,5,3,2,18,11
D,3.4,3.4,2.0,2,2,6,8,16,3,4,3,21,14
H,1.67,3.6,5.25,4,4,2,16,11,3,3,4,12,13
A,2.2,3.25,3.25,6,1,3,13,12,2,2,6,8,15
H,2.4,3.2,3.0,3,2,5,9,19,4,0,6,14,21
A,1.67,3.75,5.0,3,4,3,19,12,4,2,4,14,15
A,2.25,3.4,3.1,6,1,3,13,12,4,2,4,20,14
D,3.75,3.4,1.91,0,2,8,9,26,5,4,1,16,9
A,4.5,3.5,1.8,3,1,6,8,17,6,3,1,20,9
A,1.22,5.75,13.0,6,3,1,22,7,6,0,4,13,13
H,2.4,3.4,2.8,4,5,1,15,9,5,4,1,19,10
D,2.8,3.4,2.4,5,1,4,14,13,6,2,2,22,14
H,1.65,3.75,5.25,5,2,3,20,12,1,1,8,13,28
H,2.25,3.3,3.2,3,0,7,14,21,5,1,4,13,14
H,2.0,3.4,3.7,3,2,5,12,15,4,1,5,13,17
D,2.3,3.4,3.0,3,1,6,8,14,3,1,6,8,20
H,1.44,4.33,7.0,5,4,1,19,7,3,2,5,9,14
A,6.5,4.0,1.5,3,2,5,10,19,6,2,2,19,7
H,2.1,3.4,3.4,5,2,3,17,12,4,0,6,15,21
D,2.38,3.25,3.0,2,4,4,15,14,5,3,2,21,14
H,2.75,3.3,2.5,4,1,5,12,16,4,4,2,14,10
A,2.63,3.25,2.7,1,1,8,13,26,4,2,4,13,12
D,2.35,3.4,2.9,3,3,4,9,15,3,4,3,12,13
H,2.0,3.4,3.75,4,4,2,18,14,6,3,1,20,7
H,1.25,5.25,13.0,6,2,2,21,7,4,1,5,12,15
H,1.57,3.8,6.0,5,4,1,16,9,4,0,6,16,20
D,1.44,4.2,7.5,4,2,4,14,14,1,1,8,12,26
A,1.62,3.75,5.5,2,4,4,14,13,6,0,4,13,13
H,2.25,3.4,3.1,5,1,4,13,10,6,2,2,21,10
H,2.1,3.4,3.4,3,2,5,8,13,3,1,6,11,19
D,3.75,3.4,2.0,7,0,3,14,11,4,4,2,18,14
D,2.9,3.3,2.4,3,1,6,10,20,4,3,3,14,13
H,2.5,3.25,2.8,5,2,3,17,12,4,5,1,15,10
H,2.0,3.4,3.75,3,0,7,15,23,4,1,5,12,13
D,2.15,3.3,3.4,4,0,6,12,17,5,1,4,13,11
A,8.0,4.5,1.4,0,2,8,9,26,6,2,2,21,6
D,3.0,3.4,2.3,3,2,5,8,17,2,3,5,14,14
H,1.3,5.0,10.0,4,5,1,19,13,0,2,8,10,26
H,1.4,4.5,8.0,6,2,2,16,7,3,4,3,14,12
H,2.2,3.25,3.3,7,1,2,15,11,3,4,3,10,11
D,2.5,3.2,2.88,2,5,3,11,14,5,3,2,18,8
H,1.53,3.8,6.5,2,4,4,15,13,3,2,5,9,19
H,1.85,3.5,4.2,5,2,3,13,9,4,0,6,14,21
H,2.5,3.25,2.8,3,1,6,11,14,5,2,3,19,11
H,1.29,5.5,10.0,8,0,2,24,12,3,3,4,15,17
D,2.5,3.4,2.7,4,2,4,13,14,5,2,3,17,12
H,2.5,3.3,2.75,4,3,3,14,12,2,5,3,11,9
D,2.4,3.4,2.8,4,1,5,17,18,5,2,3,19,11
H,2.9,3.3,2.4,4,1,5,18,20,7,1,2,16,9
A,7.0,4.0,1.5,0,1,9,3,19,6,3,1,14,9
A,1.85,3.6,4.0,5,4,1,19,8,3,3,4,16,13
D,2.2,3.4,3.2,3,4,3,13,12,5,2,3,14,9
H,2.25,3.4,3.1,4,2,4,18,13,7,1,2,15,10
A,6.0,3.8,1.57,3,0,7,13,23,7,2,1,17,5
H,2.9,3.4,2.38,5,1,4,13,15,2,5,3,11,14
D,1.85,3.5,4.0,0,2,8,10,25,4,0,6,12,14
A,4.33,3.5,1.83,3,3,4,9,12,5,4,1,19,12
D,1.33,4.5,8.5,7,1,2,17,9,3,3,4,9,13
D,1.25,5.5,12.0,6,3,1,17,10,4,3,3,12,12
A,3.75,3.25,1.91,4,3,3,19,13,8,0,2,24,11
H,1.5,3.8,6.5,4,3,3,16,13,2,5,3,9,12
A,2.75,3.1,2.5,3,3,4,14,18,4,3,3,14,14
A,1.85,3.4,4.0,1,5,4,8,9,5,1,4,19,18
D,2.1,3.25,3.3,8,0,2,24,11,5,4,1,17,11
D,1.75,3.5,4.33,5,3,2,15,11,1,5,4,9,11
A,3.0,3.25,2.25,3,2,5,17,19,6,2,2,15,10
H,4.2,3.4,1.8,3,4,3,11,13,5,3,2,20,13
A,2.8,3.2,2.38,0,1,9,4,22,3,4,3,11,12
A,2.5,3.25,2.8,3,3,4,13,16,3,3,4,16,15
D,1.83,3.5,4.33,7,1,2,17,11,5,4,1,16,10
H,1.36,4.75,8.5,4,5,1,16,12,5,0,5,19,21
A,1.67,3.75,5.0,4,3,3,17,13,3,4,3,9,12
A,1.91,3.5,4.0,3,4,3,11,11,2,2,6,17,21
H,1.29,5.25,11.0,5,3,2,18,10,0,1,9,4,23
H,1.85,3.4,4.33,0,6,4,7,12,2,5,3,10,13
D,1.57,3.6,5.5,6,1,3,22,13,6,3,1,22,9
A,1.7,3.6,5.0,4,5,1,14,10,3,4,3,11,13
A,2.25,3.3,2.88,3,2,5,19,18,1,6,3,9,12
A,5.0,3.4,1.67,2,4,4,10,14,4,5,1,18,12
H,1.5,3.75,6.0,4,0,6,17,23,0,1,9,5,25
A,4.0,3.4,1.8,3,2,5,13,17,6,2,2,17,12
H,1.5,3.8,6.0,6,2,2,19,13,4,3,3,17,13
D,1.33,4.5,8.0,4,5,1,19,12,2,2,6,19,20
A,1.91,3.3,3.75,4,4,2,12,12,4,0,6,16,24
